Site,ID number,Number of scars,Length,Proximal width,Medial width,Distal width,Thickness at medial,Platform width,Platform thickness,Weight,,,
Ksar Akil 28A,1531.00,4.00,50.26,29.21,26.58,5.26,5.99,29.13,9.60,10.40,,,
Ksar Akil 28A,1563.00,4.00,57.51,34.70,28.76,4.49,4.80,27.44,7.28,12.70,,,
Ksar Akil 28A,1400.00,3.00,53.00,38.28,33.10,4.20,8.67,40.61,10.91,18.30,,,
Ksar Akil 28A,1526.00,5.00,52.94,21.48,28.22,4.67,10.57,21.27,8.61,14.50,,,
Ksar Akil 28A,1389.00,3.00,54.18,27.69,28.15,3.55,7.89,26.21,8.12,12.70,,,
Ksar Akil 28A,1425.00,3.00,53.92,31.13,27.50,4.46,8.79,31.10,10.19,15.20,,,
Ksar Akil 28A,1555.00,4.00,93.07,40.05,37.41,10.73,9.04,39.62,9.27,41.70,,,
Ksar Akil 28A,1528.00,4.00,46.40,53.60,42.18,3.64,8.41,53.78,10.38,20.90,,,
Ksar Akil 28A,1551.00,6.00,71.56,52.84,48.21,7.11,11.70,51.43,11.21,42.50,,,
Ksar Akil 28A,1522.00,7.00,61.54,31.86,34.84,3.91,10.84,30.55,9.26,22.40,,,
Ksar Akil 28A,1184.00,2.00,65.39,36.38,26.13,4.18,4.97,33.79,4.77,10.10,,,
Ksar Akil 28A,2066.00,7.00,65.62,35.18,34.47,23.01,8.97,34.10,9.73,27.80,,,
Ksar Akil 28A,1849.00,5.00,62.49,28.73,34.31,26.23,5.13,27.19,6.31,13.80,,,
Ksar Akil 28A,2217.00,5.00,60.53,49.86,44.26,6.04,8.25,49.80,4.41,25.70,,,
Ksar Akil 28A,2507.00,8.00,73.54,33.01,55.08,35.33,11.55,22.03,12.12,34.60,,,
Ksar Akil 28A,1927.00,5.00,63.60,39.27,55.13,30.22,13.52,31.16,15.51,52.60,,,
Ksar Akil 28A,2256.00,5.00,53.62,38.74,37.13,30.19,4.49,25.09,4.72,14.30,,,
Ksar Akil 28A,1111.00,3.00,45.66,40.80,34.10,6.24,7.92,40.59,4.80,12.00,,,
Ksar Akil 28A,2088.00,7.00,40.63,41.12,37.18,12.91,8.16,41.98,11.05,15.30,,,
Ksar Akil 28A,2058.00,5.00,53.35,34.81,29.28,4.44,4.09,34.19,,9.00,,,
Ksar Akil 28A,2551.00,6.00,53.43,37.20,43.01,47.48,4.73,28.92,,15.80,,,
Ksar Akil 28A,2518.00,5.00,70.57,37.86,46.99,21.32,10.08,35.68,12.48,39.00,,,
Ksar Akil 28A,2079.00,5.00,73.99,31.07,44.57,43.08,8.01,15.29,8.66,25.70,,,
Ksar Akil 28A,2239.00,5.00,55.82,33.43,39.24,23.49,6.18,37.86,8.68,19.30,,,
Ksar Akil 28A,2021.00,6.00,68.68,44.56,50.54,8.73,9.11,44.49,10.49,38.60,,,
Ksar Akil 28A,2691.00,5.00,58.59,23.96,34.58,17.20,3.99,18.09,5.12,11.90,,,
Ksar Akil 28A,2233.00,4.00,52.93,26.88,41.44,4.51,9.13,25.33,7.00,20.00,,,
Ksar Akil 28A,2542.00,6.00,62.49,32.48,37.91,22.05,6.36,29.64,8.13,21.30,,,
Ksar Akil 28A,2068.00,6.00,68.73,33.86,41.22,3.66,10.58,20.76,11.75,35.10,,,
Ksar Akil 28A,2247.00,4.00,57.41,33.65,36.07,14.85,7.60,32.39,6.24,18.10,,,
Ksar Akil 28A,2020.00,6.00,65.02,53.43,35.32,12.73,8.09,53.42,7.26,27.20,,,
Ksar Akil 28A,2005.00,3.00,51.20,24.35,25.27,7.05,5.86,22.69,8.87,9.90,,,
Ksar Akil 28A,2282.00,3.00,46.40,32.29,35.99,30.95,9.48,31.18,9.42,14.60,,,
Ksar Akil 28A,2317.00,4.00,37.00,21.33,23.00,4.61,5.63,15.25,6.56,5.70,,,
Ksar Akil 28A,2265.00,7.00,80.44,28.61,37.33,10.19,8.45,12.49,5.37,30.70,,,
Ksar Akil 28A,2065.00,7.00,61.93,33.63,27.09,19.44,5.55,32.11,8.06,16.00,,,
Ksar Akil 28A,2649.00,11.00,89.99,23.70,39.02,37.97,8.05,23.89,7.54,41.80,,,
Ksar Akil 28A,2064.00,5.00,54.74,39.37,35.57,5.08,8.31,39.30,8.36,21.80,,,
Ksar Akil 28A,1168.00,4.00,55.66,34.59,31.91,11.45,6.92,34.48,6.62,14.50,,,
Ksar Akil 28A,2197.00,3.00,70.28,38.76,37.40,13.47,9.11,37.42,7.61,27.80,,,
Ksar Akil 28A,2283.00,8.00,39.08,22.70,31.69,6.86,8.37,22.79,6.53,10.20,,,
Ksar Akil 28A,1201.00,6.00,51.73,21.75,27.64,2.14,7.23,21.37,7.42,10.50,,,
Ksar Akil 28A,2036.00,3.00,36.63,33.94,31.84,10.46,11.02,33.70,10.93,12.20,,,
Ksar Akil 28A,2502.00,5.00,53.01,18.78,24.39,10.52,7.64,15.81,6.80,10.70,,,
Ksar Akil 28A,1990.00,3.00,48.89,25.79,29.57,2.29,6.12,23.87,6.06,10.70,,,
Ksar Akil 28A,1512.00,6.00,53.28,36.31,23.08,3.57,6.93,35.77,6.94,12.40,,,
Ksar Akil 28A,1421.00,4.00,48.09,21.61,20.39,1.90,4.35,19.89,9.13,6.50,,,
Ksar Akil 28A,1544.00,3.00,57.27,29.95,38.73,1.97,12.15,29.32,13.93,23.70,,,
Ksar Akil 28A,1577.00,6.00,73.69,34.54,42.03,2.24,6.36,33.49,7.04,24.90,,,
Ksar Akil 28A,1578.00,3.00,60.80,46.16,38.99,1.88,10.06,46.03,8.06,26.80,,,
Ksar Akil 28A,2188.00,5.00,63.68,45.81,36.26,3.23,8.22,45.40,8.00,26.80,,,
Ksar Akil 28A,2331.00,3.00,36.14,17.11,16.39,1.46,5.05,17.08,6.28,3.70,,,
Ksar Akil 28A,2061.00,4.00,65.31,46.78,45.24,47.66,14.86,43.91,13.33,46.60,,,
Ksar Akil 28A,2195.00,5.00,69.42,30.22,34.16,2.07,12.54,28.62,8.95,33.10,,,
Ksar Akil 28A,2249.00,4.00,46.92,20.00,25.29,2.45,9.34,21.00,9.91,12.10,,,
Ksar Akil 28A,2082.00,5.00,44.99,30.00,32.78,5.07,8.88,31.77,9.82,15.60,,,
Ksar Akil 28A,2250.00,4.00,41.77,23.21,27.75,1.59,7.29,23.33,7.59,10.50,,,
Ksar Akil 28A,2084.00,3.00,36.94,31.13,24.51,2.68,7.21,31.59,9.29,9.00,,,
Ksar Akil 28A,2087.00,3.00,46.73,23.19,26.92,3.99,7.09,23.06,8.92,10.80,,,
Ksar Akil 28A,2208.00,4.00,39.80,26.38,26.08,2.52,5.04,25.29,5.77,6.80,,,
Ksar Akil 28A,2071.00,5.00,62.95,23.20,28.59,26.73,4.97,21.20,7.72,13.60,,,
Ksar Akil 28A,2221.00,4.00,49.69,32.96,31.16,2.37,9.33,31.24,8.91,16.10,,,
Ksar Akil 28A,2026.00,5.00,75.19,32.27,28.44,1.82,6.88,32.16,8.09,19.10,,,
Ksar Akil 28A,2040.00,4.00,35.30,17.10,15.05,2.00,4.50,16.64,5.20,2.60,,,
Ksar Akil 28A,2248.00,4.00,59.36,29.94,31.46,1.37,7.57,26.80,6.92,16.80,,,
Ksar Akil 28A,2252.00,5.00,52.34,23.17,24.45,1.57,5.29,27.79,7.40,10.10,,,
Ksar Akil 28A,2244.00,3.00,82.40,46.64,47.37,4.43,9.68,45.18,16.85,50.90,,,
Ksar Akil 28A,2321.00,7.00,57.33,13.54,33.42,8.40,6.36,7.02,2.95,12.30,,,
Ksar Akil 28A,2219.00,3.00,46.29,26.41,26.15,4.43,6.45,27.59,5.49,11.00,,,
Wusta,xx11,8.00,25.09,20.70,25.80,32.68,6.46,9.03,2.33,7.90,,,
Wusta,709.00,5.00,15.30,8.74,11.47,9.17,2.84,8.52,1.82,0.70,,,
Wusta,715.00,6.00,22.24,9.33,16.24,13.80,5.55,9.69,5.45,3.80,,,
Wusta,704.00,3.00,30.42,14.65,16.32,15.78,3.35,11.26,2.52,3.00,,,
Wusta,259.00,3.00,20.71,22.05,16.36,3.04,5.30,21.91,5.78,2.80,,,
Wusta,716.00,6.00,50.66,28.97,26.73,20.26,8.12,29.58,9.16,21.50,,,
Wusta,xx21,9.00,55.45,23.18,28.68,16.28,6.24,19.85,7.66,15.70,,,
Wusta,392.00,9.00,24.01,26.03,28.60,33.06,8.37,23.79,10.11,10.20,,,
Wusta,272.00,8.00,36.38,28.03,37.60,27.44,12.32,18.94,6.15,27.00,,,
Wusta,304.00,4.00,23.75,14.45,20.33,19.59,5.24,9.12,3.36,4.20,,,
Wusta,236.00,6.00,21.63,18.44,20.35,17.10,7.74,11.22,3.65,1.40,,,
Wusta,202.00,6.00,32.75,12.73,18.79,14.39,3.45,4.14,1.34,3.00,,,
Wusta,236.00,6.00,35.11,25.34,30.09,23.12,9.88,24.62,12.35,13.80,,,
Wusta,232.00,6.00,35.10,9.66,20.01,16.51,5.13,8.77,4.77,4.90,,,
Wusta,298.00,4.00,22.17,29.55,26.99,21.30,9.20,29.51,10.56,7.00,,,
Wusta,324.00,7.00,27.32,9.97,15.47,15.11,4.92,6.58,1.42,3.40,,,
Wusta,313.00,4.00,25.44,20.49,20.69,14.06,4.78,19.60,7.60,3.60,,,
Wusta,360.00,4.00,23.09,13.68,22.36,27.20,10.79,8.92,3.26,8.50,,,
Wusta,216.00,5.00,25.20,15.96,25.25,32.81,7.95,12.16,5.15,9.40,,,
Wusta,359.00,7.00,19.21,11.15,19.12,16.82,6.28,6.87,3.29,2.90,,,
Wusta,378.00,4.00,22.67,14.23,17.39,13.79,5.94,7.39,3.02,3.10,,,
Wusta,258.00,7.00,21.41,15.43,17.57,12.14,6.47,14.87,6.17,3.20,,,
Wusta,261.00,5.00,28.32,16.95,18.85,13.39,4.83,14.52,3.36,4.20,,,
Wusta,256.00,3.00,37.35,38.27,43.52,4.91,12.98,41.22,17.14,35.90,,,
Wusta,200.00,6.00,46.22,24.16,35.42,11.30,11.83,32.77,12.37,24.20,,,
Wusta,91.00,6.00,38.12,29.25,32.79,28.85,11.70,11.09,4.45,17.90,,,
Wusta,185.00,3.00,43.32,23.91,29.68,21.57,9.06,17.96,8.64,14.80,,,
Wusta,51.00,7.00,43.67,17.38,34.62,22.57,9.04,10.32,2.95,12.70,,,
Wusta,106.00,5.00,28.10,18.31,17.64,11.34,4.30,15.48,4.51,2.80,,,
Wusta,112.00,3.00,33.88,26.76,34.19,23.92,7.64,27.26,6.56,10.60,,,
Wusta,71.00,8.00,41.39,24.73,26.23,17.56,5.18,19.22,3.65,8.00,,,
Wusta,0.86,4.00,66.30,22.43,34.52,22.88,7.91,9.85,3.59,22.00,,,
Wusta,181.00,7.00,56.99,19.26,32.20,20.48,7.85,9.08,3.24,21.60,,,
Tor Faraj,219.00,3.00,64.93,42.83,40.33,1.15,8.09,42.97,10.44,32.30,,,
Tor Faraj,216.00,3.00,48.50,26.05,33.04,11.70,5.49,26.86,4.94,10.50,,,
Tor Faraj,218.00,4.00,46.24,33.18,32.61,17.70,6.63,44.31,5.41,14.00,,,
Tor Faraj,212.00,4.00,32.30,15.11,10.96,0.61,3.11,16.21,3.68,1.40,,,
Tor Faraj,5.00,5.00,57.56,36.68,34.91,30.33,7.68,39.82,7.56,18.90,,,
Tor Faraj,10.00,4.00,39.44,14.17,26.47,9.13,5.69,13.17,6.55,5.80,,,
Tor Faraj,213.00,6.00,74.93,52.77,42.30,4.28,7.71,29.28,6.06,37.70,,,
Tor Faraj,3.00,5.00,62.09,36.74,30.68,4.27,4.83,39.63,4.28,12.90,,,
Tor Faraj,2.00,3.00,46.18,45.21,32.27,1.82,5.21,48.36,4.33,10.90,,,
Tor Faraj,220.00,3.00,63.53,30.75,25.18,6.99,8.37,30.54,8.53,13.80,,,
Tor Faraj,208.00,7.00,91.72,30.27,22.36,3.33,7.40,29.25,11.78,20.60,,,
Tor Faraj,217.00,3.00,25.77,16.13,12.85,3.77,2.42,16.35,2.16,1.10,,,
Tor Faraj,205.00,3.00,44.80,20.45,28.07,3.45,4.83,19.30,4.14,6.80,,,
Tor Faraj,200.00,3.00,61.95,14.45,26.96,5.11,3.65,15.27,3.37,9.70,,,
Tor Faraj,201.00,6.00,81.57,27.13,28.11,10.68,7.13,28.74,3.85,22.50,,,
Tor Faraj,202.00,4.00,27.53,18.56,28.40,27.70,5.65,15.74,6.40,4.20,,,
Tor Faraj,4.00,3.00,39.50,28.80,35.77,18.37,5.02,32.20,4.91,9.30,,,
Tor Faraj,198.00,4.00,49.55,28.44,20.82,4.73,6.28,25.07,6.79,9.10,,,
Tor Faraj,197.00,4.00,53.77,31.13,26.20,2.28,2.93,32.72,4.25,6.00,,,
Tor Faraj,10.00,4.00,40.90,7.16,15.04,16.59,4.69,5.70,2.21,3.20,,,
Tor Faraj,203.00,3.00,22.74,26.69,31.02,25.94,3.00,25.69,5.06,3.20,,,
Tor Faraj,230.00,6.00,30.26,29.60,37.44,32.78,5.15,26.33,4.52,6.40,,,
Tor Faraj,234.00,6.00,53.47,23.59,21.42,10.38,7.06,23.01,6.43,10.30,,,
Tor Faraj,24.00,3.00,35.24,20.50,29.33,13.45,5.61,18.04,7.48,4.90,,,
Tor Faraj,1.00,4.00,53.17,24.26,23.81,8.29,5.64,25.16,5.72,8.10,,,
Tor Faraj,7.00,6.00,31.11,19.98,19.74,7.27,4.45,16.41,5.04,3.30,,,
Tor Faraj,223.00,4.00,50.81,41.91,39.90,16.32,9.76,41.26,9.68,24.20,,,
Tor Faraj,7.00,4.00,48.25,23.80,32.54,19.29,5.09,17.98,5.68,11.10,,,
Tor Faraj,6.00,6.00,46.04,28.18,38.57,26.27,6.83,23.91,6.64,13.80,,,
Tor Faraj,6.00,5.00,57.11,21.55,24.90,13.36,4.77,20.35,5.87,12.10,,,
Tor Faraj,232.00,5.00,67.01,18.71,26.14,9.55,6.41,21.86,7.97,11.20,,,
Tor Faraj,227.00,4.00,52.10,23.46,30.49,17.68,8.73,19.88,9.02,14.90,,,
Tor Faraj,233.00,5.00,38.71,29.91,34.24,23.16,10.09,25.41,7.67,12.70,,,
Tor Faraj,224.00,3.00,30.44,15.03,16.22,11.29,2.85,18.65,3.45,2.00,,,
Tor Faraj,225.00,3.00,72.33,42.28,37.91,4.71,7.92,37.67,8.68,23.30,,,
Tor Faraj,226.00,6.00,44.04,43.55,38.90,7.95,8.50,23.53,7.20,20.90,,,
Tor Faraj,236.00,5.00,79.09,11.44,25.83,23.33,5.31,9.67,4.38,13.40,,,
Tor Faraj,231.00,2.00,55.36,39.97,34.70,1.27,9.51,40.20,8.40,24.20,,,
Tor Faraj,4.00,4.00,63.79,21.99,29.43,1.08,8.94,22.94,5.45,16.00,,,
Tor Faraj,5.00,3.00,55.07,28.66,24.57,2.32,5.41,29.53,6.67,10.40,,,
Tor Faraj,2.00,3.00,68.53,24.60,20.06,0.90,4.85,23.10,4.40,9.70,,,
Tor Faraj,3.00,3.00,46.75,25.60,30.20,1.01,4.37,26.91,5.07,8.60,,,
Tor Faraj,1.00,3.00,61.70,50.07,43.36,0.95,7.47,45.08,8.28,28.50,,,
Tor Faraj,6.00,6.00,45.33,19.07,27.04,0.95,7.45,17.83,6.14,9.90,,,
Tor Faraj,14.00,3.00,32.22,40.37,39.82,18.34,7.58,38.45,8.98,11.00,,,
Tor Faraj,16.00,4.00,55.40,17.46,31.68,13.07,5.04,24.45,3.88,9.30,,,
Tor Faraj,3.00,3.00,69.27,39.57,31.67,4.68,8.53,30.68,7.21,23.80,,,
Tor Faraj,3.00,3.00,53.06,42.11,20.50,4.94,5.88,42.44,6.13,10.20,,,
Tor Faraj,6.00,6.00,50.02,36.42,30.14,0.87,8.87,33.45,8.76,17.30,,,
Tor Faraj,4.00,3.00,61.58,26.64,27.97,0.93,3.73,13.10,4.76,9.50,,,
Tor Faraj,5.00,3.00,46.48,36.55,27.31,1.14,6.21,42.42,6.84,8.10,,,
Tor Faraj,4.00,3.00,46.78,26.79,20.58,1.37,4.43,11.22,4.36,5.20,,,
Tor Faraj,15.00,3.00,44.60,32.89,20.61,3.49,4.02,24.30,3.61,6.50,,,
Tor Faraj,8.00,4.00,73.74,34.64,33.83,3.35,9.13,33.23,10.15,28.30,,,
Tor Faraj,3.00,3.00,66.83,42.41,37.43,1.39,8.76,47.34,7.95,24.60,,,
Tor Faraj,25.00,3.00,58.90,28.66,17.60,1.31,6.19,27.20,5.77,7.20,,,
Tor Faraj,19.00,3.00,52.19,45.34,35.88,11.14,8.99,38.22,9.40,21.80,,,
Tor Faraj,24.00,3.00,41.71,39.61,24.42,2.82,4.45,44.00,4.66,7.10,,,
Tor Faraj,15.00,6.00,70.17,53.39,40.14,9.21,11.15,56.17,7.68,29.40,,,
Tor Faraj,1.00,4.00,49.97,27.43,27.76,1.08,4.34,22.56,4.21,7.60,,,
Tor Faraj,2.00,4.00,40.26,35.56,30.28,6.73,6.12,41.07,7.30,10.10,,,
Tor Faraj,4.00,3.00,35.34,35.48,34.35,3.06,4.45,34.84,3.58,6.70,,,
Tor Faraj,18.00,3.00,36.18,37.01,28.62,1.36,6.45,40.28,7.21,8.60,,,
Tor Faraj,17.00,4.00,46.23,21.31,17.02,1.82,4.72,17.52,3.54,4.80,,,
Tor Faraj,13.00,3.00,52.71,21.85,26.74,5.74,6.52,21.29,4.52,10.00,,,
Tor Faraj,6.00,3.00,46.94,42.09,29.75,1.74,7.11,42.70,7.63,11.70,,,
Tor Faraj,19.00,3.00,63.50,50.07,46.44,3.01,8.05,23.47,5.01,29.50,,,
Tor Faraj,9.00,3.00,39.01,23.43,24.84,7.52,4.96,22.71,5.97,6.30,,,
Tor Faraj,16.00,4.00,63.30,39.40,27.29,5.61,6.13,44.86,5.97,15.30,,,
Tor Faraj,1.00,4.00,59.17,32.96,36.21,1.13,8.29,31.47,10.90,22.30,,,
Tor Faraj,4.00,5.00,53.69,25.36,18.46,5.04,4.94,27.66,4.99,8.00,,,
Tor Faraj,5.00,4.00,61.74,31.66,31.98,24.78,5.35,33.59,4.79,17.00,,,
Tor Faraj,4.00,3.00,54.42,22.43,26.36,20.81,7.21,23.28,3.90,11.40,,,
Tor Faraj,2.00,3.00,51.70,6.72,11.82,2.72,4.93,8.88,2.11,2.60,,,
Tor Faraj,16.00,3.00,35.11,19.93,20.79,1.27,3.74,18.38,4.19,3.70,,,
Tor Faraj,102.00,3.00,39.95,12.32,12.78,2.03,2.21,7.67,2.52,1.70,,,
Tor Faraj,204.00,3.00,26.48,18.31,16.00,6.45,3.04,16.04,4.86,1.90,,,
Tor Faraj,14.00,3.00,33.32,16.31,21.57,4.22,2.56,17.39,2.09,2.40,,,
Tor Faraj,13.00,6.00,51.21,14.46,23.72,1.42,5.06,16.18,3.59,5.00,,,
Tor Faraj,507.00,3.00,53.04,21.10,34.99,1.43,10.26,18.00,4.43,14.00,,,
Tor Faraj,6.00,3.00,52.81,29.19,35.67,15.43,4.23,22.62,3.76,10.10,,,
Tor Faraj,535.00,4.00,43.75,27.88,22.98,2.73,5.07,14.13,6.17,5.20,,,
Tor Faraj,101.00,4.00,55.70,33.56,22.48,5.39,4.03,38.86,6.46,9.40,,,
Tor Faraj,102.00,4.00,30.07,30.60,24.19,9.33,5.78,30.83,4.24,4.70,,,
Tor Faraj,553.00,4.00,63.30,39.40,27.29,5.61,6.13,44.86,5.97,15.30,,,
Tor Faraj,7.00,4.00,56.18,17.72,30.54,11.08,5.21,28.20,4.91,9.40,,,
Tor Faraj,195-1,4.00,30.07,30.60,24.19,9.33,5.78,30.83,4.24,4.70,,,
Tor Faraj,195-2,3.00,30.15,21.93,16.04,3.19,2.87,22.57,2.28,1.50,,,
Tor Faraj,UC 14,3.00,27.91,15.03,13.68,2.76,2.07,8.43,2.25,1.20,,,
Tor Faraj,UC 17,3.00,45.24,34.82,32.02,2.20,7.04,37.40,7.42,11.70,,,
Tor Faraj,UC 18,3.00,31.57,16.43,16.28,2.57,5.38,14.80,5.11,2.90,,,
Tor Faraj,UC 19,3.00,71.15,28.51,31.72,5.60,7.30,22.07,4.62,19.00,,,
Tor Faraj,UC 22,3.00,57.24,41.12,27.45,3.95,5.32,13.13,2.85,10.90,,,
Tor Faraj,UC1,5.00,55.64,44.26,30.02,1.98,6.57,58.15,8.08,16.90,,,
Tor Faraj,UC10,3.00,59.85,24.91,22.85,1.37,6.71,21.22,4.08,9.80,,,
Tor Faraj,UC11,4.00,63.38,50.74,34.97,13.05,6.23,58.51,4.95,21.90,,,
Tor Faraj,UC15,3.00,68.91,34.76,28.95,1.25,7.89,42.54,6.16,19.90,,,
Tor Faraj,UC21,3.00,55.29,40.98,28.98,1.70,5.04,38.01,4.85,11.30,,,
Tor Faraj,UC5,3.00,50.58,26.26,23.49,2.35,4.19,33.86,4.77,6.90,,,
Tor Faraj,UC6,3.00,58.51,36.53,28.05,2.37,6.35,27.28,5.91,15.20,,,
Tor Faraj,UC7,3.00,75.01,54.22,35.18,1.26,7.17,58.84,6.81,30.50,,,
Tor Faraj,UC8,3.00,55.97,38.72,20.37,2.00,4.82,49.92,3.86,8.50,,,
Tor Faraj,UC9,4.00,66.27,28.23,27.24,2.14,5.75,28.18,6.23,14.60,,,
Tor Faraj,258.00,3.00,51.94,20.92,23.25,4.00,4.28,31.27,3.93,6.90,,,
Tor Faraj,251.00,3.00,52.25,44.96,29.53,1.24,5.10,54.10,5.86,11.10,,,
Tor Faraj,254.00,3.00,69.72,53.01,37.65,1.39,7.24,52.28,7.54,32.00,,,
Tor Faraj,261.00,7.00,42.30,21.44,22.43,11.47,5.17,21.47,5.48,7.40,,,
Tor Faraj,260.00,5.00,30.23,22.86,34.68,30.51,6.32,21.70,4.24,6.40,,,
Tor Faraj,279.00,3.00,46.19,34.58,29.76,21.14,9.51,38.12,3.77,12.70,,,
Tor Faraj,277.00,6.00,41.83,25.81,36.99,28.78,7.65,27.43,7.98,20.20,,,
Kebara x,370,6.00,51.12,32.91,25.59,10.30,5.76,26.12,3.48,10.60,,,
kebara x,277,6.00,60.72,30.10,27.29,1.90,8.37,20.90,7.21,17.80,,,
kebara x,287,5.00,58.95,36.30,34.46,3.60,9.74,26.70,7.29,19.10,,,
kebara x,452,5.00,39.91,27.80,30.89,4.10,6.71,24.78,3.69,6.00,,,
Kebara x,468,4.00,50.98,15.45,15.29,2.60,6.12,12.23,4.06,4.80,,,
kebara x,465,3.00,47.87,12.83,17.51,6.90,6.73,6.33,4.62,5.70,,,
kebara x,463,8.00,85.75,44.10,33.20,2.10,6.04,31.15,5.03,19.80,,,
kebara x,174,5.00,39.22,33.62,36.36,4.20,4.79,26.07,5.16,8.50,,,
Kebara x,55,5.00,65.31,28.54,26.84,17.97,5.05,21.50,3.67,11.80,,,
kebara x,553,6.00,64.89,24.88,39.07,4.80,8.56,22.17,5.64,25.40,,,
kebara x,513,4.00,47.88,28.42,23.64,4.70,4.14,23.44,3.27,5.60,,,
kebara x,464,3.00,43.73,31.53,27.68,1.00,6.05,31.76,4.05,7.50,,,
Kebara x,460,5.00,59.17,23.97,27.65,7.80,8.45,22.53,6.12,11.90,,,
kebara x,351,5.00,55.49,11.39,21.53,8.67,5.69,7.60,3.18,4.90,,,
kebara x,171,5.00,43.86,12.15,22.02,5.00,4.66,7.15,2.38,3.00,,,
kebara x,260,5.00,30.56,17.20,30.90,1.30,7.04,15.99,4.52,4.40,,,
